Time,Treatment,OD_600
0,SSE,0.085
1,SSE,0.085
2,SSE,0.085
3,SSE,0.085
4,SSE,0.085
5,SSE,0.085
6,SSE,0.085
7,SSE,0.085
8,SSE,0.085
9,SSE,0.086
10,SSE,0.086
11,SSE,0.087
12,SSE,0.086
13,SSE,0.086
14,SSE,0.086
15,SSE,0.086
16,SSE,0.086
17,SSE,0.086
18,SSE,0.086
19,SSE,0.086
20,SSE,0.086
21,SSE,0.086
22,SSE,0.086
0,SSE,0.083
1,SSE,0.083
2,SSE,0.082
3,SSE,0.082
4,SSE,0.083
5,SSE,0.083
6,SSE,0.083
7,SSE,0.083
8,SSE,0.084
9,SSE,0.084
10,SSE,0.084
11,SSE,0.085
12,SSE,0.085
13,SSE,0.085
14,SSE,0.085
15,SSE,0.086
16,SSE,0.086
17,SSE,0.087
18,SSE,0.089
19,SSE,0.092
20,SSE,0.099
21,SSE,0.114
22,SSE,0.121
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.084
5,SSE,0.084
6,SSE,0.084
7,SSE,0.085
8,SSE,0.085
9,SSE,0.085
10,SSE,0.085
11,SSE,0.086
12,SSE,0.086
13,SSE,0.086
14,SSE,0.086
15,SSE,0.087
16,SSE,0.087
17,SSE,0.087
18,SSE,0.087
19,SSE,0.087
20,SSE,0.087
21,SSE,0.087
22,SSE,0.087
0,P4_SSE,0.241
1,P4_SSE,0.255
2,P4_SSE,0.247
3,P4_SSE,0.238
4,P4_SSE,0.248
5,P4_SSE,0.274
6,P4_SSE,0.294
7,P4_SSE,0.418
8,P4_SSE,0.386
9,P4_SSE,0.42
10,P4_SSE,0.502
11,P4_SSE,0.468
12,P4_SSE,0.382
13,P4_SSE,0.339
14,P4_SSE,0.352
15,P4_SSE,0.369
16,P4_SSE,0.395
17,P4_SSE,0.401
18,P4_SSE,0.422
19,P4_SSE,0.43
20,P4_SSE,0.449
21,P4_SSE,0.463
22,P4_SSE,0.468
0,P4_SSE,0.235
1,P4_SSE,0.256
2,P4_SSE,0.248
3,P4_SSE,0.241
4,P4_SSE,0.251
5,P4_SSE,0.281
6,P4_SSE,0.331
7,P4_SSE,0.265
8,P4_SSE,0.194
9,P4_SSE,0.164
10,P4_SSE,0.175
11,P4_SSE,0.183
12,P4_SSE,0.223
13,P4_SSE,0.265
14,P4_SSE,0.297
15,P4_SSE,0.315
16,P4_SSE,0.329
17,P4_SSE,0.331
18,P4_SSE,0.334
19,P4_SSE,0.333
20,P4_SSE,0.337
21,P4_SSE,0.341
22,P4_SSE,0.347
0,P4_SSE,0.216
1,P4_SSE,0.246
2,P4_SSE,0.237
3,P4_SSE,0.231
4,P4_SSE,0.243
5,P4_SSE,0.278
6,P4_SSE,0.367
7,P4_SSE,0.243
8,P4_SSE,0.224
9,P4_SSE,0.178
10,P4_SSE,0.156
11,P4_SSE,0.287
12,P4_SSE,0.307
13,P4_SSE,0.297
14,P4_SSE,0.328
15,P4_SSE,0.377
16,P4_SSE,0.382
17,P4_SSE,0.389
18,P4_SSE,0.391
19,P4_SSE,0.408
20,P4_SSE,0.412
21,P4_SSE,0.423
22,P4_SSE,0.438
