Time,Treatment,OD_600
0,Water,0.084
0,SSE,0.084
0,P4_SSE,0.158
0,P4_SSE,0.158
0,Water,0.086
0,SSE,0.082
0,P4_SSE,0.148
0,P4_SSE,0.18
0,Water,0.083
0,SSE,0.084
0,P4_SSE,0.148
0,P4_SSE,0.156
1,Water,0.083
1,SSE,0.088
1,P4_SSE,0.145
1,P4_SSE,0.147
1,Water,0.085
1,SSE,0.082
1,P4_SSE,0.139
1,P4_SSE,0.172
1,Water,0.084
1,SSE,0.084
1,P4_SSE,0.141
1,P4_SSE,0.15
2,Water,0.084
2,SSE,0.083
2,P4_SSE,0.144
2,P4_SSE,0.146
2,Water,0.084
2,SSE,0.082
2,P4_SSE,0.138
2,P4_SSE,0.171
2,Water,0.084
2,SSE,0.084
2,P4_SSE,0.14
2,P4_SSE,0.149
3,Water,0.084
3,SSE,0.083
3,P4_SSE,0.15
3,P4_SSE,0.153
3,Water,0.084
3,SSE,0.082
3,P4_SSE,0.144
3,P4_SSE,0.182
3,Water,0.084
3,SSE,0.084
3,P4_SSE,0.146
3,P4_SSE,0.157
4,Water,0.084
4,SSE,0.083
4,P4_SSE,0.166
4,P4_SSE,0.169
4,Water,0.085
4,SSE,0.09
4,P4_SSE,0.158
4,P4_SSE,0.206
4,Water,0.083
4,SSE,0.084
4,P4_SSE,0.163
4,P4_SSE,0.177
5,Water,0.084
5,SSE,0.086
5,P4_SSE,0.195
5,P4_SSE,0.197
5,Water,0.085
5,SSE,0.085
5,P4_SSE,0.185
5,P4_SSE,0.236
5,Water,0.084
5,SSE,0.084
5,P4_SSE,0.191
5,P4_SSE,0.205
6,Water,0.084
6,SSE,0.085
6,P4_SSE,0.24
6,P4_SSE,0.233
6,Water,0.085
6,SSE,0.083
6,P4_SSE,0.219
6,P4_SSE,0.268
6,Water,0.085
6,SSE,0.084
6,P4_SSE,0.235
6,P4_SSE,0.239
7,Water,0.084
7,SSE,0.085
7,P4_SSE,0.287
7,P4_SSE,0.27
7,Water,0.085
7,SSE,0.083
7,P4_SSE,0.253
7,P4_SSE,0.301
7,Water,0.085
7,SSE,0.084
7,P4_SSE,0.278
7,P4_SSE,0.271
8,Water,0.084
8,SSE,0.098
8,P4_SSE,0.286
8,P4_SSE,0.303
8,Water,0.085
8,SSE,0.085
8,P4_SSE,0.274
8,P4_SSE,0.32
8,Water,0.085
8,SSE,0.084
8,P4_SSE,0.28
8,P4_SSE,0.293
9,Water,0.084
9,SSE,0.084
9,P4_SSE,0.272
9,P4_SSE,0.304
9,Water,0.085
9,SSE,0.09
9,P4_SSE,0.29
9,P4_SSE,0.335
9,Water,0.085
9,SSE,0.084
9,P4_SSE,0.29
9,P4_SSE,0.313
10,Water,0.084
10,SSE,0.084
10,P4_SSE,0.31
10,P4_SSE,0.323
10,Water,0.085
10,SSE,0.084
10,P4_SSE,0.289
10,P4_SSE,0.348
10,Water,0.084
10,SSE,0.085
10,P4_SSE,0.298
10,P4_SSE,0.32
11,Water,0.085
11,SSE,0.093
11,P4_SSE,0.27
11,P4_SSE,0.324
11,Water,0.086
11,SSE,0.086
11,P4_SSE,0.296
11,P4_SSE,0.359
11,Water,0.085
11,SSE,0.085
11,P4_SSE,0.307
11,P4_SSE,0.328
12,Water,0.085
12,SSE,0.091
12,P4_SSE,0.277
12,P4_SSE,0.335
12,Water,0.085
12,SSE,0.084
12,P4_SSE,0.305
12,P4_SSE,0.369
12,Water,0.085
12,SSE,0.086
12,P4_SSE,0.318
12,P4_SSE,0.335
13,Water,0.084
13,SSE,0.095
13,P4_SSE,0.283
13,P4_SSE,0.343
13,Water,0.086
13,SSE,0.087
13,P4_SSE,0.316
