Time,Treatment,OD_600
0,SSE,0.084
1,SSE,0.085
2,SSE,0.085
3,SSE,0.085
4,SSE,0.085
5,SSE,0.085
6,SSE,0.085
7,SSE,0.085
8,SSE,0.085
9,SSE,0.085
10,SSE,0.085
11,SSE,0.085
12,SSE,0.085
13,SSE,0.085
14,SSE,0.085
15,SSE,0.086
16,SSE,0.086
17,SSE,0.086
18,SSE,0.086
19,SSE,0.086
20,SSE,0.086
21,SSE,0.086
22,SSE,0.086
23,SSE,0.086
24,SSE,0.086
0,SSE,0.082
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.083
6,SSE,0.083
7,SSE,0.083
8,SSE,0.083
9,SSE,0.084
10,SSE,0.084
11,SSE,0.084
12,SSE,0.084
13,SSE,0.084
14,SSE,0.084
15,SSE,0.084
16,SSE,0.084
17,SSE,0.084
18,SSE,0.084
19,SSE,0.085
20,SSE,0.085
21,SSE,0.084
22,SSE,0.084
23,SSE,0.084
24,SSE,0.084
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.084
5,SSE,0.084
6,SSE,0.084
7,SSE,0.084
8,SSE,0.084
9,SSE,0.084
10,SSE,0.084
11,SSE,0.085
12,SSE,0.085
13,SSE,0.085
14,SSE,0.085
15,SSE,0.085
16,SSE,0.086
17,SSE,0.086
18,SSE,0.086
19,SSE,0.086
20,SSE,0.086
21,SSE,0.086
22,SSE,0.086
23,SSE,0.086
24,SSE,0.086
0,P4_SSE,0.181
1,P4_SSE,0.184
2,P4_SSE,0.18
3,P4_SSE,0.177
4,P4_SSE,0.185
5,P4_SSE,0.205
6,P4_SSE,0.244
7,P4_SSE,0.376
8,P4_SSE,0.313
9,P4_SSE,0.217
10,P4_SSE,0.248
11,P4_SSE,0.331
12,P4_SSE,0.435
13,P4_SSE,0.54
14,P4_SSE,0.564
15,P4_SSE,0.554
16,P4_SSE,0.55
17,P4_SSE,0.546
18,P4_SSE,0.546
19,P4_SSE,0.533
20,P4_SSE,0.522
21,P4_SSE,0.508
22,P4_SSE,0.481
23,P4_SSE,0.468
24,P4_SSE,0.478
0,P4_SSE,0.162
1,P4_SSE,0.164
2,P4_SSE,0.16
3,P4_SSE,0.161
4,P4_SSE,0.171
5,P4_SSE,0.196
6,P4_SSE,0.268
7,P4_SSE,0.268
8,P4_SSE,0.34
9,P4_SSE,0.411
10,P4_SSE,0.436
11,P4_SSE,0.191
12,P4_SSE,0.377
13,P4_SSE,0.452
14,P4_SSE,0.449
15,P4_SSE,0.434
16,P4_SSE,0.39
17,P4_SSE,0.376
18,P4_SSE,0.357
19,P4_SSE,0.355
20,P4_SSE,0.362
21,P4_SSE,0.368
22,P4_SSE,0.386
23,P4_SSE,0.401
24,P4_SSE,0.424
0,P4_SSE,0.15
1,P4_SSE,0.16
2,P4_SSE,0.157
3,P4_SSE,0.158
4,P4_SSE,0.168
5,P4_SSE,0.179
6,P4_SSE,0.194
7,P4_SSE,0.317
8,P4_SSE,0.459
9,P4_SSE,0.365
10,P4_SSE,0.509
11,P4_SSE,0.571
12,P4_SSE,0.853
13,P4_SSE,0.969
14,P4_SSE,0.811
15,P4_SSE,0.746
16,P4_SSE,0.629
17,P4_SSE,0.667
18,P4_SSE,0.729
19,P4_SSE,0.757
20,P4_SSE,0.751
21,P4_SSE,0.71
22,P4_SSE,0.692
23,P4_SSE,0.694
24,P4_SSE,0.669
