Time,Treatment,OD_600
0,SSE,0.085
1,SSE,0.085
2,SSE,0.085
3,SSE,0.085
4,SSE,0.085
5,SSE,0.086
6,SSE,0.086
7,SSE,0.086
8,SSE,0.086
9,SSE,0.086
10,SSE,0.086
11,SSE,0.087
12,SSE,0.087
13,SSE,0.087
14,SSE,0.087
15,SSE,0.087
16,SSE,0.088
17,SSE,0.088
18,SSE,0.09
19,SSE,0.09
20,SSE,0.091
21,SSE,0.091
22,SSE,0.092
23,SSE,0.092
24,SSE,0.093
25,SSE,0.096
26,SSE,0.095
27,SSE,0.097
0,SSE,0.082
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.082
6,SSE,0.082
7,SSE,0.082
8,SSE,0.083
9,SSE,0.083
10,SSE,0.084
11,SSE,0.084
12,SSE,0.084
13,SSE,0.084
14,SSE,0.084
15,SSE,0.085
16,SSE,0.085
17,SSE,0.085
18,SSE,0.086
19,SSE,0.087
20,SSE,0.088
21,SSE,0.089
22,SSE,0.09
23,SSE,0.091
24,SSE,0.093
25,SSE,0.095
26,SSE,0.096
27,SSE,0.099
0,SSE,0.083
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.083
6,SSE,0.083
7,SSE,0.083
8,SSE,0.084
9,SSE,0.084
10,SSE,0.086
11,SSE,0.088
12,SSE,0.089
13,SSE,0.091
14,SSE,0.093
15,SSE,0.095
16,SSE,0.096
17,SSE,0.094
18,SSE,0.095
19,SSE,0.105
20,SSE,0.097
21,SSE,0.097
22,SSE,0.09
23,SSE,0.094
24,SSE,0.098
25,SSE,0.1
26,SSE,0.101
27,SSE,0.102
0,P4_SSE,0.169
1,P4_SSE,0.16
2,P4_SSE,0.159
3,P4_SSE,0.17
4,P4_SSE,0.199
5,P4_SSE,0.249
6,P4_SSE,0.307
7,P4_SSE,0.342
8,P4_SSE,0.344
9,P4_SSE,0.355
10,P4_SSE,0.362
11,P4_SSE,0.384
12,P4_SSE,0.401
13,P4_SSE,0.417
14,P4_SSE,0.434
15,P4_SSE,0.449
16,P4_SSE,0.46
17,P4_SSE,0.472
18,P4_SSE,0.483
19,P4_SSE,0.491
20,P4_SSE,0.498
21,P4_SSE,0.496
22,P4_SSE,0.509
23,P4_SSE,0.515
24,P4_SSE,0.527
25,P4_SSE,0.529
26,P4_SSE,0.537
27,P4_SSE,0.546
0,P4_SSE,0.153
1,P4_SSE,0.147
2,P4_SSE,0.146
3,P4_SSE,0.156
4,P4_SSE,0.178
5,P4_SSE,0.214
6,P4_SSE,0.278
7,P4_SSE,0.337
8,P4_SSE,0.354
9,P4_SSE,0.315
10,P4_SSE,0.314
11,P4_SSE,0.303
12,P4_SSE,0.283
13,P4_SSE,0.294
14,P4_SSE,0.281
15,P4_SSE,0.277
16,P4_SSE,0.274
17,P4_SSE,0.28
18,P4_SSE,0.282
19,P4_SSE,0.282
20,P4_SSE,0.285
21,P4_SSE,0.292
22,P4_SSE,0.292
23,P4_SSE,0.295
24,P4_SSE,0.289
25,P4_SSE,0.293
26,P4_SSE,0.297
27,P4_SSE,0.303
0,P4_SSE,0.163
1,P4_SSE,0.165
2,P4_SSE,0.165
3,P4_SSE,0.178
4,P4_SSE,0.206
5,P4_SSE,0.248
6,P4_SSE,0.334
7,P4_SSE,0.383
8,P4_SSE,0.358
9,P4_SSE,0.343
10,P4_SSE,0.36
11,P4_SSE,0.371
12,P4_SSE,0.388
13,P4_SSE,0.403
14,P4_SSE,0.42
15,P4_SSE,0.432
16,P4_SSE,0.444
17,P4_SSE,0.454
18,P4_SSE,0.461
19,P4_SSE,0.467
20,P4_SSE,0.476
21,P4_SSE,0.48
22,P4_SSE,0.485
23,P4_SSE,0.498
24,P4_SSE,0.51
25,P4_SSE,0.68
26,P4_SSE,0.538
27,P4_SSE,0.338
0,P4_SSE,0.147
1,P4_SSE,0.141
2,P4_SSE,0.142
3,P4_SSE,0.151
4,P4_SSE,0.176
5,P4_SSE,0.212
6,P4_SSE,0.253
7,P4_SSE,0.264
8,P4_SSE,0.279
9,P4_SSE,0.279
10,P4_SSE,0.3
11,P4_SSE,0.295
12,P4_SSE,0.232
13,P4_SSE,0.245
14,P4_SSE,0.259
15,P4_SSE,0.271
16,P4_SSE,0.281
17,P4_SSE,0.291
18,P4_SSE,0.296
19,P4_SSE,0.299
20,P4_SSE,0.305
21,P4_SSE,0.309
22,P4_SSE,0.319
23,P4_SSE,0.318
24,P4_SSE,0.325
25,P4_SSE,0.326
26,P4_SSE,0.331
27,P4_SSE,0.329
0,P4_SSE,0.15
1,P4_SSE,0.149
2,P4_SSE,0.15
3,P4_SSE,0.161
4,P4_SSE,0.185
5,P4_SSE,0.229
6,P4_SSE,0.273
7,P4_SSE,0.322
8,P4_SSE,0.308
9,P4_SSE,0.29
10,P4_SSE,0.28
11,P4_SSE,0.296
12,P4_SSE,0.333
13,P4_SSE,0.311
14,P4_SSE,0.316
15,P4_SSE,0.318
16,P4_SSE,0.343
17,P4_SSE,0.38
18,P4_SSE,0.365
19,P4_SSE,0.359
20,P4_SSE,0.341
21,P4_SSE,0.352
22,P4_SSE,0.34
23,P4_SSE,0.337
24,P4_SSE,0.338
25,P4_SSE,0.338
26,P4_SSE,0.329
27,P4_SSE,0.326
0,P4_SSE,0.16
1,P4_SSE,0.17
2,P4_SSE,0.17
3,P4_SSE,0.185
4,P4_SSE,0.22
5,P4_SSE,0.263
6,P4_SSE,0.307
7,P4_SSE,0.361
8,P4_SSE,0.318
9,P4_SSE,0.307
10,P4_SSE,0.283
11,P4_SSE,0.301
12,P4_SSE,0.311
13,P4_SSE,0.323
14,P4_SSE,0.335
15,P4_SSE,0.341
16,P4_SSE,0.349
17,P4_SSE,0.347
18,P4_SSE,0.353
19,P4_SSE,0.354
20,P4_SSE,0.355
21,P4_SSE,0.363
22,P4_SSE,0.377
23,P4_SSE,0.371
24,P4_SSE,0.378
25,P4_SSE,0.383
26,P4_SSE,0.389
27,P4_SSE,0.401
0,P4_SSE,0.151
1,P4_SSE,0.154
2,P4_SSE,0.154
3,P4_SSE,0.165
4,P4_SSE,0.193
5,P4_SSE,0.24
6,P4_SSE,0.294
7,P4_SSE,0.284
8,P4_SSE,0.24
9,P4_SSE,0.183
10,P4_SSE,0.168
11,P4_SSE,0.256
12,P4_SSE,0.278
13,P4_SSE,0.185
14,P4_SSE,0.178
15,P4_SSE,0.189
16,P4_SSE,0.197
17,P4_SSE,0.217
18,P4_SSE,0.232
19,P4_SSE,0.243
20,P4_SSE,0.254
21,P4_SSE,0.262
22,P4_SSE,0.263
23,P4_SSE,0.261
24,P4_SSE,0.26
25,P4_SSE,0.261
26,P4_SSE,0.262
27,P4_SSE,0.264
0,P4_SSE,0.152
1,P4_SSE,0.159
2,P4_SSE,0.159
3,P4_SSE,0.173
4,P4_SSE,0.206
5,P4_SSE,0.271
6,P4_SSE,0.328
7,P4_SSE,0.349
8,P4_SSE,0.323
9,P4_SSE,0.321
10,P4_SSE,0.243
11,P4_SSE,0.217
12,P4_SSE,0.226
13,P4_SSE,0.23
14,P4_SSE,0.239
15,P4_SSE,0.248
16,P4_SSE,0.253
17,P4_SSE,0.266
18,P4_SSE,0.282
19,P4_SSE,0.288
20,P4_SSE,0.292
21,P4_SSE,0.299
22,P4_SSE,0.3
23,P4_SSE,0.3
24,P4_SSE,0.306
25,P4_SSE,0.305
26,P4_SSE,0.31
27,P4_SSE,0.314
0,P4_SSE,0.163
1,P4_SSE,0.171
2,P4_SSE,0.173
3,P4_SSE,0.19
4,P4_SSE,0.229
5,P4_SSE,0.288
6,P4_SSE,0.348
7,P4_SSE,0.377
8,P4_SSE,0.382
