Time,Treatment,OD_600
0,Water,0.083
0,SSE,0.083
0,Ch5_SSE,0.103
0,P4_SSE,0.104
0,Water,0.083
0,SSE,0.083
0,Ch5_SSE,0.099
0,P4_SSE,0.103
0,Water,0.083
0,SSE,0.083
0,Ch5_SSE,0.099
0,P4_SSE,0.106
1,Water,0.083
1,SSE,0.082
1,Ch5_SSE,0.1
1,P4_SSE,0.101
1,Water,0.082
1,SSE,0.083
1,Ch5_SSE,0.098
1,P4_SSE,0.101
1,Water,0.083
1,SSE,0.083
1,Ch5_SSE,0.098
1,P4_SSE,0.103
2,Water,0.083
2,SSE,0.082
2,Ch5_SSE,0.104
2,P4_SSE,0.104
2,Water,0.083
2,SSE,0.083
2,Ch5_SSE,0.101
2,P4_SSE,0.103
2,Water,0.083
2,SSE,0.083
2,Ch5_SSE,0.102
2,P4_SSE,0.106
3,Water,0.083
3,SSE,0.082
3,Ch5_SSE,0.11
3,P4_SSE,0.111
3,Water,0.083
3,SSE,0.083
3,Ch5_SSE,0.108
3,P4_SSE,0.11
3,Water,0.083
3,SSE,0.083
3,Ch5_SSE,0.108
3,P4_SSE,0.113
4,Water,0.082
4,SSE,0.082
4,Ch5_SSE,0.121
4,P4_SSE,0.124
4,Water,0.083
4,SSE,0.083
4,Ch5_SSE,0.118
4,P4_SSE,0.124
4,Water,0.083
4,SSE,0.083
4,Ch5_SSE,0.12
4,P4_SSE,0.128
5,Water,0.083
5,SSE,0.082
5,Ch5_SSE,0.139
5,P4_SSE,0.146
5,Water,0.083
5,SSE,0.083
5,Ch5_SSE,0.136
5,P4_SSE,0.146
5,Water,0.083
5,SSE,0.083
5,Ch5_SSE,0.137
5,P4_SSE,0.152
6,Water,0.083
6,SSE,0.082
6,Ch5_SSE,0.166
6,P4_SSE,0.179
6,Water,0.083
6,SSE,0.083
6,Ch5_SSE,0.163
6,P4_SSE,0.178
6,Water,0.083
6,SSE,0.083
6,Ch5_SSE,0.166
6,P4_SSE,0.188
7,Water,0.083
7,SSE,0.082
7,Ch5_SSE,0.203
7,P4_SSE,0.22
7,Water,0.083
7,SSE,0.083
7,Ch5_SSE,0.2
7,P4_SSE,0.214
7,Water,0.083
7,SSE,0.083
7,Ch5_SSE,0.204
7,P4_SSE,0.23
8,Water,0.083
8,SSE,0.082
8,Ch5_SSE,0.246
8,P4_SSE,0.258
8,Water,0.083
8,SSE,0.083
8,Ch5_SSE,0.24
8,P4_SSE,0.244
8,Water,0.084
8,SSE,0.083
8,Ch5_SSE,0.251
8,P4_SSE,0.266
9,Water,0.083
9,SSE,0.082
9,Ch5_SSE,0.287
9,P4_SSE,0.285
9,Water,0.083
9,SSE,0.083
9,Ch5_SSE,0.276
9,P4_SSE,0.265
9,Water,0.084
9,SSE,0.083
9,Ch5_SSE,0.295
9,P4_SSE,0.29
10,Water,0.083
10,SSE,0.082
10,Ch5_SSE,0.32
10,P4_SSE,0.303
10,Water,0.083
10,SSE,0.083
10,Ch5_SSE,0.305
10,P4_SSE,0.279
10,Water,0.084
10,SSE,0.083
10,Ch5_SSE,0.329
10,P4_SSE,0.306
11,Water,0.083
11,SSE,0.082
11,Ch5_SSE,0.349
11,P4_SSE,0.318
11,Water,0.083
11,SSE,0.083
11,Ch5_SSE,0.329
11,P4_SSE,0.295
11,Water,0.084
11,SSE,0.083
11,Ch5_SSE,0.356
11,P4_SSE,0.325
12,Water,0.083
12,SSE,0.082
12,Ch5_SSE,0.368
12,P4_SSE,0.335
12,Water,0.083
12,SSE,0.083
12,Ch5_SSE,0.352
12,P4_SSE,0.313
12,Water,0.084
12,SSE,0.083
12,Ch5_SSE,0.378
12,P4_SSE,0.342
13,Water,0.083
13,SSE,0.082
13,Ch5_SSE,0.383
13,P4_SSE,0.35
13,Water,0.083
13,SSE,0.083
13,Ch5_SSE,0.37
13,P4_SSE,0.328
13,Water,0.084
13,SSE,0.083
13,Ch5_SSE,0.394
13,P4_SSE,0.354
14,Water,0.083
14,SSE,0.082
14,Ch5_SSE,0.396
14,P4_SSE,0.364
14,Water,0.083
14,SSE,0.083
14,Ch5_SSE,0.387
14,P4_SSE,0.34
14,Water,0.083
14,SSE,0.083
14,Ch5_SSE,0.407
14,P4_SSE,0.362
15,Water,0.083
15,SSE,0.082
15,Ch5_SSE,0.406
15,P4_SSE,0.374
15,Water,0.083
15,SSE,0.083
15,Ch5_SSE,0.402
15,P4_SSE,0.35
15,Water,0.084
15,SSE,0.083
15,Ch5_SSE,0.419
15,P4_SSE,0.371
16,Water,0.083
16,SSE,0.082
16,Ch5_SSE,0.419
16,P4_SSE,0.386
16,Water,0.083
16,SSE,0.083
16,Ch5_SSE,0.414
16,P4_SSE,0.366
16,Water,0.083
16,SSE,0.083
16,Ch5_SSE,0.428
16,P4_SSE,0.39
17,Water,0.083
17,SSE,0.083
17,Ch5_SSE,0.428
17,P4_SSE,0.396
17,Water,0.083
17,SSE,0.083
17,Ch5_SSE,0.422
17,P4_SSE,0.384
17,Water,0.083
17,SSE,0.083
17,Ch5_SSE,0.44
17,P4_SSE,0.407
18,Water,0.083
18,SSE,0.083
18,Ch5_SSE,0.44
18,P4_SSE,0.417
18,Water,0.083
18,SSE,0.083
18,Ch5_SSE,0.433
18,P4_SSE,0.4
18,Water,0.083
18,SSE,0.083
18,Ch5_SSE,0.449
18,P4_SSE,0.42
19,Water,0.083
19,SSE,0.082
19,Ch5_SSE,0.45
19,P4_SSE,0.424
19,Water,0.083
19,SSE,0.083
19,Ch5_SSE,0.443
19,P4_SSE,0.419
19,Water,0.083
19,SSE,0.083
19,Ch5_SSE,0.459
19,P4_SSE,0.432
20,Water,0.083
20,SSE,0.082
20,Ch5_SSE,0.461
20,P4_SSE,0.449
20,Water,0.083
20,SSE,0.083
20,Ch5_SSE,0.457
20,P4_SSE,0.433
20,Water,0.083
20,SSE,0.083
20,Ch5_SSE,0.47
20,P4_SSE,0.444
21,Water,0.083
21,SSE,0.083
21,Ch5_SSE,0.476
21,P4_SSE,0.454
21,Water,0.083
21,SSE,0.083
21,Ch5_SSE,0.459
21,P4_SSE,0.441
21,Water,0.083
21,SSE,0.083
21,Ch5_SSE,0.476
21,P4_SSE,0.45
22,Water,0.083
22,SSE,0.082
22,Ch5_SSE,0.464
22,P4_SSE,0.453
22,Water,0.083
22,SSE,0.083
22,Ch5_SSE,0.461
22,P4_SSE,0.447
22,Water,0.083
22,SSE,0.083
22,Ch5_SSE,0.485
22,P4_SSE,0.458
23,Water,0.083
23,SSE,0.082
23,Ch5_SSE,0.476
23,P4_SSE,0.461
23,Water,0.083
23,SSE,0.083
23,Ch5_SSE,0.476
23,P4_SSE,0.45
23,Water,0.083
23,SSE,0.083
23,Ch5_SSE,0.49
23,P4_SSE,0.461
24,Water,0.098
24,SSE,0.099
24,Ch5_SSE,0.477
24,P4_SSE,0.466
24,Water,0.101
24,SSE,0.1
24,Ch5_SSE,0.494
24,P4_SSE,0.473
24,Water,0.095
24,SSE,0.097
24,Ch5_SSE,0.495
24,P4_SSE,0.476
