Time,Treatment,OD_600
0,Water,0.085
1,Water,0.085
2,Water,0.085
3,Water,0.085
4,Water,0.085
5,Water,0.085
6,Water,0.085
7,Water,0.085
8,Water,0.085
9,Water,0.085
10,Water,0.087
11,Water,0.087
12,Water,0.086
13,Water,0.088
14,Water,0.087
15,Water,0.087
16,Water,0.086
17,Water,0.086
18,Water,0.086
19,Water,0.087
20,Water,0.087
21,Water,0.086
22,Water,0.086
23,Water,0.085
24,Water,0.086
0,Water,0.086
1,Water,0.087
2,Water,0.087
3,Water,0.086
4,Water,0.088
5,Water,0.085
6,Water,0.085
7,Water,0.087
8,Water,0.085
9,Water,0.085
10,Water,0.085
11,Water,0.086
12,Water,0.087
13,Water,0.087
14,Water,0.088
15,Water,0.088
16,Water,0.087
17,Water,0.087
18,Water,0.087
19,Water,0.088
20,Water,0.087
21,Water,0.087
22,Water,0.086
23,Water,0.086
24,Water,0.087
0,Water,0.086
1,Water,0.085
2,Water,0.085
3,Water,0.085
4,Water,0.085
5,Water,0.086
6,Water,0.086
7,Water,0.086
8,Water,0.086
9,Water,0.087
10,Water,0.088
11,Water,0.088
12,Water,0.088
13,Water,0.089
14,Water,0.089
15,Water,0.09
16,Water,0.09
17,Water,0.09
18,Water,0.091
19,Water,0.091
20,Water,0.091
21,Water,0.091
22,Water,0.089
23,Water,0.09
24,Water,0.089
0,SSE,0.091
1,SSE,0.09
2,SSE,0.089
3,SSE,0.09
4,SSE,0.091
5,SSE,0.09
6,SSE,0.09
7,SSE,0.09
8,SSE,0.09
9,SSE,0.09
10,SSE,0.092
11,SSE,0.093
12,SSE,0.093
13,SSE,0.095
14,SSE,0.096
15,SSE,0.098
16,SSE,0.1
17,SSE,0.1
18,SSE,0.1
19,SSE,0.101
20,SSE,0.102
21,SSE,0.103
22,SSE,0.104
23,SSE,0.105
24,SSE,0.108
0,SSE,0.091
1,SSE,0.091
2,SSE,0.089
3,SSE,0.089
4,SSE,0.089
5,SSE,0.089
6,SSE,0.089
7,SSE,0.09
8,SSE,0.09
9,SSE,0.091
10,SSE,0.092
11,SSE,0.093
12,SSE,0.093
13,SSE,0.094
14,SSE,0.097
15,SSE,0.098
16,SSE,0.099
17,SSE,0.101
18,SSE,0.103
19,SSE,0.105
20,SSE,0.107
21,SSE,0.109
22,SSE,0.111
23,SSE,0.114
24,SSE,0.114
0,SSE,0.088
1,SSE,0.089
2,SSE,0.089
3,SSE,0.09
4,SSE,0.09
5,SSE,0.091
6,SSE,0.091
7,SSE,0.092
8,SSE,0.093
9,SSE,0.095
10,SSE,0.097
11,SSE,0.099
12,SSE,0.1
13,SSE,0.101
14,SSE,0.102
15,SSE,0.103
16,SSE,0.107
17,SSE,0.108
18,SSE,0.109
19,SSE,0.113
20,SSE,0.113
21,SSE,0.115
22,SSE,0.116
23,SSE,0.12
24,SSE,0.123
0,P4_SSE,0.188
1,P4_SSE,0.182
2,P4_SSE,0.177
3,P4_SSE,0.183
4,P4_SSE,0.188
5,P4_SSE,0.19
6,P4_SSE,0.26
7,P4_SSE,0.231
8,P4_SSE,0.267
9,P4_SSE,0.257
10,P4_SSE,0.268
11,P4_SSE,0.226
12,P4_SSE,0.2
13,P4_SSE,0.195
14,P4_SSE,0.198
15,P4_SSE,0.197
16,P4_SSE,0.216
17,P4_SSE,0.239
18,P4_SSE,0.253
19,P4_SSE,0.265
20,P4_SSE,0.274
21,P4_SSE,0.282
22,P4_SSE,0.286
23,P4_SSE,0.293
24,P4_SSE,0.297
0,P4_SSE,0.178
1,P4_SSE,0.177
2,P4_SSE,0.173
3,P4_SSE,0.177
4,P4_SSE,0.193
5,P4_SSE,0.22
6,P4_SSE,0.283
7,P4_SSE,0.263
8,P4_SSE,0.326
9,P4_SSE,0.319
10,P4_SSE,0.344
11,P4_SSE,0.284
12,P4_SSE,0.237
13,P4_SSE,0.223
14,P4_SSE,0.239
15,P4_SSE,0.248
16,P4_SSE,0.238
17,P4_SSE,0.252
18,P4_SSE,0.265
19,P4_SSE,0.265
20,P4_SSE,0.27
21,P4_SSE,0.278
22,P4_SSE,0.272
23,P4_SSE,0.266
24,P4_SSE,0.27
0,P4_SSE,0.192
1,P4_SSE,0.193
2,P4_SSE,0.193
3,P4_SSE,0.2
4,P4_SSE,0.21
5,P4_SSE,0.249
6,P4_SSE,0.251
7,P4_SSE,0.219
8,P4_SSE,0.159
9,P4_SSE,0.124
10,P4_SSE,0.134
11,P4_SSE,0.172
12,P4_SSE,0.197
13,P4_SSE,0.194
14,P4_SSE,0.191
15,P4_SSE,0.201
16,P4_SSE,0.198
17,P4_SSE,0.203
18,P4_SSE,0.204
19,P4_SSE,0.208
20,P4_SSE,0.211
21,P4_SSE,0.216
22,P4_SSE,0.213
23,P4_SSE,0.222
24,P4_SSE,0.224
0,P4_SSE,0.175
1,P4_SSE,0.178
2,P4_SSE,0.174
3,P4_SSE,0.179
4,P4_SSE,0.193
5,P4_SSE,0.258
6,P4_SSE,0.281
7,P4_SSE,0.21
8,P4_SSE,0.219
9,P4_SSE,0.24
10,P4_SSE,0.344
11,P4_SSE,0.367
12,P4_SSE,0.354
13,P4_SSE,0.324
14,P4_SSE,0.291
15,P4_SSE,0.273
16,P4_SSE,0.266
17,P4_SSE,0.256
18,P4_SSE,0.275
19,P4_SSE,0.272
20,P4_SSE,0.261
21,P4_SSE,0.275
22,P4_SSE,0.27
23,P4_SSE,0.269
24,P4_SSE,0.282
0,P4_SSE,0.171
1,P4_SSE,0.172
2,P4_SSE,0.168
3,P4_SSE,0.174
4,P4_SSE,0.189
5,P4_SSE,0.211
6,P4_SSE,0.201
7,P4_SSE,0.228
8,P4_SSE,0.156
9,P4_SSE,0.233
10,P4_SSE,0.24
11,P4_SSE,0.236
12,P4_SSE,0.204
13,P4_SSE,0.188
14,P4_SSE,0.18
15,P4_SSE,0.183
16,P4_SSE,0.183
17,P4_SSE,0.185
18,P4_SSE,0.193
19,P4_SSE,0.199
20,P4_SSE,0.198
21,P4_SSE,0.203
22,P4_SSE,0.207
23,P4_SSE,0.212
24,P4_SSE,0.216
0,P4_SSE,0.168
1,P4_SSE,0.169
2,P4_SSE,0.169
3,P4_SSE,0.172
4,P4_SSE,0.183
5,P4_SSE,0.285
6,P4_SSE,0.258
7,P4_SSE,0.178
8,P4_SSE,0.141
9,P4_SSE,0.241
10,P4_SSE,0.224
11,P4_SSE,0.214
12,P4_SSE,0.215
13,P4_SSE,0.231
14,P4_SSE,0.246
15,P4_SSE,0.248
16,P4_SSE,0.252
17,P4_SSE,0.25
18,P4_SSE,0.253
19,P4_SSE,0.261
20,P4_SSE,0.257
21,P4_SSE,0.262
22,P4_SSE,0.27
23,P4_SSE,0.268
24,P4_SSE,0.27
