Time,Treatment,OD_600
0,Water,0.083
1,Water,0.083
2,Water,0.082
3,Water,0.083
4,Water,0.083
5,Water,0.083
6,Water,0.083
7,Water,0.083
8,Water,0.083
9,Water,0.083
10,Water,0.083
11,Water,0.083
12,Water,0.083
13,Water,0.083
14,Water,0.083
15,Water,0.083
16,Water,0.083
17,Water,0.083
18,Water,0.083
19,Water,0.083
20,Water,0.083
21,Water,0.083
22,Water,0.083
23,Water,0.083
24,Water,0.083
0,Water,0.084
1,Water,0.083
2,Water,0.083
3,Water,0.083
4,Water,0.083
5,Water,0.083
6,Water,0.083
7,Water,0.083
8,Water,0.083
9,Water,0.083
10,Water,0.083
11,Water,0.083
12,Water,0.083
13,Water,0.083
14,Water,0.083
15,Water,0.083
16,Water,0.083
17,Water,0.083
18,Water,0.084
19,Water,0.084
20,Water,0.083
21,Water,0.084
22,Water,0.084
23,Water,0.084
24,Water,0.084
0,Water,0.085
1,Water,0.084
2,Water,0.084
3,Water,0.084
4,Water,0.084
5,Water,0.084
6,Water,0.085
7,Water,0.085
8,Water,0.085
9,Water,0.085
10,Water,0.085
11,Water,0.085
12,Water,0.085
13,Water,0.085
14,Water,0.085
15,Water,0.085
16,Water,0.085
17,Water,0.085
18,Water,0.085
19,Water,0.085
20,Water,0.085
21,Water,0.085
22,Water,0.085
23,Water,0.085
24,Water,0.085
0,SSE,0.083
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.082
6,SSE,0.082
7,SSE,0.082
8,SSE,0.082
9,SSE,0.082
10,SSE,0.082
11,SSE,0.082
12,SSE,0.082
13,SSE,0.082
14,SSE,0.082
15,SSE,0.082
16,SSE,0.082
17,SSE,0.082
18,SSE,0.082
19,SSE,0.082
20,SSE,0.082
21,SSE,0.082
22,SSE,0.082
23,SSE,0.082
24,SSE,0.082
0,SSE,0.084
1,SSE,0.083
2,SSE,0.085
3,SSE,0.083
4,SSE,0.083
5,SSE,0.084
6,SSE,0.085
7,SSE,0.086
8,SSE,0.086
9,SSE,0.087
10,SSE,0.084
11,SSE,0.084
12,SSE,0.085
13,SSE,0.085
14,SSE,0.086
15,SSE,0.087
16,SSE,0.086
17,SSE,0.085
18,SSE,0.085
19,SSE,0.086
20,SSE,0.085
21,SSE,0.087
22,SSE,0.088
23,SSE,0.087
24,SSE,0.088
0,SSE,0.083
1,SSE,0.084
2,SSE,0.084
3,SSE,0.083
4,SSE,0.083
5,SSE,0.083
6,SSE,0.083
7,SSE,0.083
8,SSE,0.083
9,SSE,0.083
10,SSE,0.083
11,SSE,0.083
12,SSE,0.083
13,SSE,0.083
14,SSE,0.083
15,SSE,0.083
16,SSE,0.083
17,SSE,0.083
18,SSE,0.083
19,SSE,0.083
20,SSE,0.083
21,SSE,0.083
22,SSE,0.083
23,SSE,0.083
24,SSE,0.083
0,P4_SSE,0.179
1,P4_SSE,0.175
2,P4_SSE,0.173
3,P4_SSE,0.178
4,P4_SSE,0.188
5,P4_SSE,0.194
6,P4_SSE,0.189
7,P4_SSE,0.164
8,P4_SSE,0.249
9,P4_SSE,0.256
10,P4_SSE,0.234
11,P4_SSE,0.263
12,P4_SSE,0.319
13,P4_SSE,0.357
14,P4_SSE,0.368
15,P4_SSE,0.334
16,P4_SSE,0.302
17,P4_SSE,0.294
18,P4_SSE,0.294
19,P4_SSE,0.308
20,P4_SSE,0.33
21,P4_SSE,0.336
22,P4_SSE,0.357
23,P4_SSE,0.361
24,P4_SSE,0.384
0,P4_SSE,0.165
1,P4_SSE,0.167
2,P4_SSE,0.165
3,P4_SSE,0.172
4,P4_SSE,0.188
5,P4_SSE,0.226
6,P4_SSE,0.3
7,P4_SSE,0.28
8,P4_SSE,0.278
9,P4_SSE,0.218
10,P4_SSE,0.204
11,P4_SSE,0.226
12,P4_SSE,0.257
13,P4_SSE,0.269
14,P4_SSE,0.269
15,P4_SSE,0.257
16,P4_SSE,0.255
17,P4_SSE,0.243
18,P4_SSE,0.243
19,P4_SSE,0.24
20,P4_SSE,0.255
21,P4_SSE,0.269
22,P4_SSE,0.278
23,P4_SSE,0.277
24,P4_SSE,0.282
0,P4_SSE,0.172
1,P4_SSE,0.173
2,P4_SSE,0.172
3,P4_SSE,0.181
4,P4_SSE,0.203
5,P4_SSE,0.271
6,P4_SSE,0.313
7,P4_SSE,0.27
8,P4_SSE,0.29
9,P4_SSE,0.352
10,P4_SSE,0.379
11,P4_SSE,0.363
12,P4_SSE,0.336
13,P4_SSE,0.343
14,P4_SSE,0.326
15,P4_SSE,0.338
16,P4_SSE,0.36
17,P4_SSE,0.371
18,P4_SSE,0.366
19,P4_SSE,0.381
20,P4_SSE,0.374
21,P4_SSE,0.378
22,P4_SSE,0.367
23,P4_SSE,0.36
24,P4_SSE,0.373
0,P4_SSE,0.157
1,P4_SSE,0.162
2,P4_SSE,0.161
3,P4_SSE,0.168
4,P4_SSE,0.179
5,P4_SSE,0.233
6,P4_SSE,0.269
7,P4_SSE,0.241
8,P4_SSE,0.287
9,P4_SSE,0.344
10,P4_SSE,0.412
11,P4_SSE,0.472
12,P4_SSE,0.527
13,P4_SSE,0.541
14,P4_SSE,0.563
15,P4_SSE,0.538
16,P4_SSE,0.518
17,P4_SSE,0.546
18,P4_SSE,0.558
19,P4_SSE,0.56
20,P4_SSE,0.573
21,P4_SSE,0.55
22,P4_SSE,0.551
23,P4_SSE,0.554
24,P4_SSE,0.542
0,P4_SSE,0.158
1,P4_SSE,0.159
2,P4_SSE,0.16
3,P4_SSE,0.17
4,P4_SSE,0.196
5,P4_SSE,0.239
6,P4_SSE,0.224
7,P4_SSE,0.246
8,P4_SSE,0.244
9,P4_SSE,0.244
10,P4_SSE,0.248
11,P4_SSE,0.264
12,P4_SSE,0.285
13,P4_SSE,0.307
14,P4_SSE,0.297
15,P4_SSE,0.294
16,P4_SSE,0.289
17,P4_SSE,0.297
18,P4_SSE,0.287
19,P4_SSE,0.272
20,P4_SSE,0.272
21,P4_SSE,0.278
22,P4_SSE,0.269
23,P4_SSE,0.263
24,P4_SSE,0.257
0,P4_SSE,0.149
1,P4_SSE,0.153
2,P4_SSE,0.152
3,P4_SSE,0.161
4,P4_SSE,0.199
5,P4_SSE,0.242
6,P4_SSE,0.214
7,P4_SSE,0.311
8,P4_SSE,0.379
9,P4_SSE,0.374
10,P4_SSE,0.411
11,P4_SSE,0.336
12,P4_SSE,0.321
13,P4_SSE,0.348
14,P4_SSE,0.338
15,P4_SSE,0.304
16,P4_SSE,0.296
17,P4_SSE,0.312
18,P4_SSE,0.319
19,P4_SSE,0.328
20,P4_SSE,0.341
21,P4_SSE,0.352
22,P4_SSE,0.371
23,P4_SSE,0.385
24,P4_SSE,0.39
