Time,Treatment,OD_600
0,SSE,0.083
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.083
5,SSE,0.083
6,SSE,0.083
7,SSE,0.083
8,SSE,0.083
9,SSE,0.083
10,SSE,0.083
11,SSE,0.083
12,SSE,0.083
13,SSE,0.083
14,SSE,0.083
15,SSE,0.083
16,SSE,0.083
17,SSE,0.083
18,SSE,0.083
19,SSE,0.083
20,SSE,0.083
21,SSE,0.083
22,SSE,0.083
23,SSE,0.083
24,SSE,0.083
0,SSE,0.082
1,SSE,0.082
2,SSE,0.082
3,SSE,0.082
4,SSE,0.082
5,SSE,0.082
6,SSE,0.082
7,SSE,0.083
8,SSE,0.083
9,SSE,0.083
10,SSE,0.083
11,SSE,0.083
12,SSE,0.082
13,SSE,0.083
14,SSE,0.083
15,SSE,0.083
16,SSE,0.083
17,SSE,0.083
18,SSE,0.083
19,SSE,0.083
20,SSE,0.083
21,SSE,0.083
22,SSE,0.083
23,SSE,0.083
24,SSE,0.083
0,SSE,0.082
1,SSE,0.083
2,SSE,0.083
3,SSE,0.083
4,SSE,0.083
5,SSE,0.083
6,SSE,0.083
7,SSE,0.083
8,SSE,0.084
9,SSE,0.083
10,SSE,0.084
11,SSE,0.083
12,SSE,0.083
13,SSE,0.083
14,SSE,0.084
15,SSE,0.083
16,SSE,0.083
17,SSE,0.083
18,SSE,0.083
19,SSE,0.083
20,SSE,0.083
21,SSE,0.083
22,SSE,0.084
23,SSE,0.084
24,SSE,0.085
0,P4_SSE,0.174
1,P4_SSE,0.182
2,P4_SSE,0.178
3,P4_SSE,0.177
4,P4_SSE,0.186
5,P4_SSE,0.198
6,P4_SSE,0.245
7,P4_SSE,0.309
8,P4_SSE,0.239
9,P4_SSE,0.216
10,P4_SSE,0.372
11,P4_SSE,0.426
12,P4_SSE,0.399
13,P4_SSE,0.321
14,P4_SSE,0.299
15,P4_SSE,0.321
16,P4_SSE,0.314
17,P4_SSE,0.323
18,P4_SSE,0.331
19,P4_SSE,0.351
20,P4_SSE,0.372
21,P4_SSE,0.405
22,P4_SSE,0.418
23,P4_SSE,0.41
24,P4_SSE,0.397
0,P4_SSE,0.174
1,P4_SSE,0.19
2,P4_SSE,0.185
3,P4_SSE,0.186
4,P4_SSE,0.198
5,P4_SSE,0.229
6,P4_SSE,0.323
7,P4_SSE,0.403
8,P4_SSE,0.341
9,P4_SSE,0.359
10,P4_SSE,0.32
11,P4_SSE,0.249
12,P4_SSE,0.254
13,P4_SSE,0.244
14,P4_SSE,0.226
15,P4_SSE,0.231
16,P4_SSE,0.238
17,P4_SSE,0.25
18,P4_SSE,0.257
19,P4_SSE,0.263
20,P4_SSE,0.274
21,P4_SSE,0.29
22,P4_SSE,0.297
23,P4_SSE,0.299
24,P4_SSE,0.295
0,P4_SSE,0.165
1,P4_SSE,0.179
2,P4_SSE,0.175
3,P4_SSE,0.176
4,P4_SSE,0.188
5,P4_SSE,0.229
6,P4_SSE,0.294
7,P4_SSE,0.203
8,P4_SSE,0.147
9,P4_SSE,0.158
10,P4_SSE,0.22
11,P4_SSE,0.208
12,P4_SSE,0.2
13,P4_SSE,0.236
14,P4_SSE,0.253
15,P4_SSE,0.261
16,P4_SSE,0.265
17,P4_SSE,0.266
18,P4_SSE,0.268
19,P4_SSE,0.275
20,P4_SSE,0.279
21,P4_SSE,0.281
22,P4_SSE,0.278
23,P4_SSE,0.274
24,P4_SSE,0.282
